Title,Published At,Source,close_price,volume
Trump’s crypto website crashed after its token went on sale,2024-10-15 22:17:14+00:00,News,,
Treasury must compensate Scotland for tax hike - Robison,2024-10-31 10:35:55+00:00,News,,
Trumpcoin Launches With a Whimper,2024-10-16 13:53:23+00:00,News,,
UK borrowing for September third highest on record,2024-10-22 06:12:15+00:00,News,,
Harris says Irish general election to be called on Friday,2024-11-06 19:28:33+00:00,News,,
Is AI the Answer to Your Money Problems? Here's What It Can (and Can't) Do,2024-10-16 12:00:46+00:00,News,,
"Making Friends With Cleo, the AI Budgeting App video",2024-10-16 12:00:03+00:00,News,,
"Why quant giant D.E. Shaw seeks out academics, doctors, and veterans to work at the $60 billion hedge fund",2024-11-05 10:50:02+00:00,News,,
"I broke into venture capital at 22 and became a partner by 28. I learned one easy, surefire way to move up the ranks.",2024-10-15 09:33:20+00:00,News,,
Russia confirms it's going to make it more painful for companies to quit the country,2024-10-17 17:30:31+00:00,News,,
AAPL Stock Data,2024-11-14 17:15:02+00:00,Stocks,228.22000122070312,43401721.0
GOOG Stock Data,2024-11-14 17:15:02+00:00,Stocks,177.35000610351562,16716910.0
AMZN Stock Data,2024-11-14 17:15:02+00:00,Stocks,211.47999572753906,42117782.0
